key	parent_key	code	titulo
100		A	Raw Materials, Chemicals, Paper, Fuel
101		B	Herramientas y equipos industriales
102		C	Suministros y componentes
103		D	Suministros y equipos de construcción, edificaciones y transportes
104		E	Productos farmacéuticos, y suministros y equipos de ensayo, de laboratorio y médicos
105		F	Suministros y equipos de servicios, limpieza y comida
106		G	Suministros y equipos tecnológicos, de comunicaciones y de negocios
107		H	Suministros y equipos de defensa y seguridad
108		I	Suministros y equipos de consumo, domésticos y personales
109		J	Servicios
100001	100	10000000	Material
100002	100001	10100000	Animales vivos
100003	100002	10101500	Ganado vacuno
100004	100003	10101501	Cats
100005	100003	10101502	Dogs
100008	100003	10101506	Horses
100009	100003	10101507	Sheep
100010	100003	10101508	Goats
100011	100003	10101509	Asses
100013	100003	10101511	Swine
100014	100003	10101512	Rabbits
100015	100003	10101513	Guinea pigs
100018	100003	10101516	Cattle
100019	100002	10101600	Pájaros y aves de corral
100020	100019	10101601	Live chickens
100021	100019	10101602	Live ducks
100022	100019	10101603	Live turkeys
100023	100019	10101604	Live geese
100024	100019	10101605	Live pheasants
100025	100002	10101700	Peces
100026	100025	10101701	Live salmon
100029	100002	10101800	Marisco e invertebrados acuáticos
100030	100029	10101801	Live shrimp
100038	100002	10101900	Insectos
100041	100038	10101903	Bees
100042	100038	10101904	Silkworms
100043	100001	10120000	Pienso para animales
100044	100043	10121500	Livestock feed
100045	100044	10121501	Pure wheat bran
100050	100043	10121600	Bird and fowl food
100051	100050	10121601	Live food for birds
100053	100043	10121700	Alimento para peces
100054	100053	10121701	Fresh or frozen brine
100057	100043	10121800	Dog and cat food
100058	100057	10121801	Dry food for dogs
100066	117163	10131600	Animal containment
100067	117163	10131500	Animal shelters
100068	100066	10131601	Cages or its accessories
100069	107461	10131701	Terrariums
100071	100066	10131602	Kennels
100073	100001	10140000	Artículos de talabartería y arreos
100074	100073	10141500	Saddlery
100075	100074	10141501	Saddles
100084	100001	10150000	Semillas
100085	100084	10151500	Semillas y plántulas vegetales
100086	184322	10152301	Semillas o plántulas de judía
100087	184323	10152404	Semillas o plántulas de zanahoria
100088	100085	10151503	Semillas o plántulas de apio
100089	100085	10151504	Semillas o plántulas de chile
100090	100085	10151505	Semillas o plántulas de calabacín
100091	100085	10151506	Semillas o plántulas de guisante
100092	100085	10151507	Semillas o plántulas de pepino
100093	100085	10151508	Semillas o plántulas de berenjena
100094	100085	10151509	Semillas o plántulas de endibia
100095	100085	10151510	Semillas o plántulas de ajo
100096	100085	10151511	Semillas o plántulas de puerro
100097	100085	10151512	Semillas o plántulas de lechuga
100098	100085	10151513	Semillas o plántulas de maíz
100099	100085	10151514	Semillas o plántulas de melón
100100	100085	10151515	Semillas o plántulas de cebolla
100101	184322	10152302	Semillas o plántulas de soja
100102	100085	10151517	Semillas o plántulas de espinaca
100103	100085	10151518	Semillas o plántulas de tomate
100104	184323	10152402	Semillas o plántulas de nabo
100105	100085	10151520	Semillas o plántulas de acelga
100106	100084	10151600	Semillas de cereales
100107	100106	10151601	Semillas de trigo
100108	100106	10151602	Semillas de colza
100109	100106	10151603	Semillas de cebada
100110	100106	10151604	Semillas de mijo
100111	100106	10151605	Semillas de avena
100112	100106	10151606	Semillas de sésamo
100113	100106	10151607	Semillas de lino
100114	100106	10151608	Semillas de aceite de ricino
100115	100106	10151609	Semillas de maíz
100116	100106	10151610	Semillas de centeno
100117	100106	10151611	Semillas de sorgo
100118	100084	10151700	Semillas y plántulas de hierba y forraje
100119	100106	10151614	Semillas o plántulas de arroz
100123	100084	10151800	Semillas y plántulas de especias
100134	100084	10151900	Semillas
100138	100084	10152000	Semillas y esquejes de árboles y arbustos
100139	100138	10152001	Fruit tree seeds or cuttings
100141	100138	10152003	Nut tree seeds or cuttings
100142	100001	10160000	Productos de floricultura y silvicultura
100143	100142	10161500	Árboles y arbustos
100168	100001	10170000	Abonos
100169	100168	10171500	Abonos orgánicos y nutrientes para plantas
100170	100169	10171501	Manure or guano
100171	100169	10171502	Plant hormones
100173	100168	10171600	Abonos químicos y nutrientes para plantas
100174	100173	10171601	Ammonium nitrate fertilizer
100175	100173	10171602	Potassic fertilizer
100176	100173	10171603	Phosphatic fertilizer
100177	100173	10171604	Sulphuric fertilizer
100178	100173	10171605	Nitrogen Phosphorous Potassium Mixtures NPK
100179	100001	10190000	Productos para el control de plagas y malas hierbas
